client_id,loan_type,loan_amount,repaid,loan_id,loan_start,loan_end,rate,loan_duration_days,rate_log,rate_log_normalized,loan_amount_normalized,rate_normalized,loan_duration_days_normalized,loan_type_cash,loan_type_credit,loan_type_home,loan_type_other,rate_freq,rate_log_freq,rate_log_normalized_freq,rate_normalized_freq,amount_per_day,interest_burden,loan_amount_sq,rate_category,rate_duration_interaction,loan_amount_log,rate_cat_low,rate_cat_medium,rate_cat_high
46109,home,13672,0,10243,2002-04-16,2003-12-20,2,613,1.0986122886681098,0.45815690999132624,0.9098667776852623,0.2,0.2248995983935743,0,0,1,0,0.13544018058690746,0.13544018058690746,0.13544018058690746,0.13544018058690746,22.267100977198698,273.44,186923584,low,1226,9.523178364309082,1,0,0
46109,credit,9794,0,10984,2003-10-21,2005-07-17,1,635,0.6931471805599453,0.2890648263178878,0.6407854565639745,0.1,0.26907630522088355,0,1,0,0,0.21670428893905191,0.21670428893905191,0.21670428893905191,0.21670428893905191,15.39937106918239,97.94,95922436,low,635,9.189627330378642,1,0,0
46109,home,12734,1,10990,2006-02-01,2007-07-05,1,519,0.6931471805599453,0.2890648263178878,0.844782126006106,0.1,0.03614457831325301,0,0,1,0,0.21670428893905191,0.21670428893905191,0.21670428893905191,0.21670428893905191,24.48846153846154,127.34,162154756,low,519,9.452109387413557,1,0,0
46109,cash,12518,1,10596,2010-12-08,2013-05-05,1,879,0.6931471805599453,0.2890648263178878,0.8297946155981127,0.1,0.7590361445783133,1,0,0,0,0.21670428893905191,0.21670428893905191,0.21670428893905191,0.21670428893905191,14.225,125.18,156700324,low,879,9.435002769259663,1,0,0
46109,credit,14049,1,11415,2010-07-07,2012-05-21,3,684,1.3862943611198906,0.5781296526357756,0.9360255342769914,0.3,0.3674698795180723,0,1,0,0,0.17155756207674944,0.17155756207674944,0.17155756207674944,0.17155756207674944,20.509489051094892,421.47,197374401,medium,2052,9.550377674761892,0,1,0
46109,home,6935,0,11501,2006-09-17,2008-11-26,2,801,1.0986122886681098,0.45815690999132624,0.4424091035248404,0.2,0.6024096385542169,0,0,1,0,0.13544018058690746,0.13544018058690746,0.13544018058690746,0.13544018058690746,8.647132169576059,138.7,48094225,low,1602,8.844480518460378,1,0,0
46109,cash,6177,1,11141,2007-03-12,2009-04-26,9,776,2.302585092994046,0.9602525677891275,0.38981404385234525,0.9,0.5522088353413654,1,0,0,0,0.029345372460496615,0.029345372460496615,0.029345372460496615,0.029345372460496615,7.94980694980695,555.93,38155329,high,6984,8.728749873478527,0,0,1
46109,home,12656,0,11658,2006-05-26,2007-10-15,4,507,1.6094379124341003,0.6711877414712396,0.8393699694698862,0.4,0.012048192771084338,0,0,1,0,0.11512415349887133,0.11512415349887133,0.11512415349887133,0.11512415349887133,24.913385826771652,506.24,160174336,medium,2028,9.44596570079245,0,1,0
46109,home,11062,1,11611,2012-09-12,2014-03-14,5,548,1.791759469228055,0.7472217363092141,0.7287676935886761,0.5,0.09437751004016064,0,0,1,0,0.0835214446952596,0.0835214446952596,0.0835214446952596,0.0835214446952596,20.14936247723133,553.1,122367844,medium,2740,9.311361486034912,0,1,0
46109,other,4050,1,10828,2003-12-06,2005-08-19,4,622,1.6094379124341003,0.6711877414712396,0.24222869830696642,0.4,0.2429718875502008,0,0,0,1,0.11512415349887133,0.11512415349887133,0.11512415349887133,0.11512415349887133,6.500802568218298,162.0,16402500,medium,2488,8.30671904320269,0,1,0
46109,other,1618,0,11661,2006-08-28,2009-04-23,6,969,1.9459101490553132,0.8115075629572489,0.0734804329725229,0.6,0.9397590361445783,0,0,0,1,0.08803611738148984,0.08803611738148984,0.08803611738148984,0.08803611738148984,1.6680412371134021,97.08,2617924,high,5814,7.389563953677635,0,0,1
46109,home,8406,0,11259,2011-10-22,2013-06-11,0,598,0.0,0.0,0.5444768248681654,0.0,0.19477911646586346,0,0,1,0,0.09029345372460497,0.09029345372460497,0.09029345372460497,0.09029345372460497,14.03338898163606,0.0,70660836,low,0,9.036819971135296,1,0,0
46109,cash,9057,1,10856,2005-06-17,2007-03-01,1,622,0.6931471805599453,0.2890648263178878,0.5896475159589232,0.1,0.2429718875502008,1,0,0,0,0.21670428893905191,0.21670428893905191,0.21670428893905191,0.21670428893905191,14.537720706260032,90.57,82029249,low,622,9.111403624116159,1,0,0
46109,credit,3524,0,11867,2005-09-18,2007-08-27,6,708,1.9459101490553132,0.8115075629572489,0.20573133499861226,0.6,0.41566265060240964,0,1,0,0,0.08803611738148984,0.08803611738148984,0.08803611738148984,0.08803611738148984,4.970380818053597,211.44,12418576,high,4248,8.16763571524637,0,0,1
46109,other,10853,0,11961,2013-11-26,2015-08-06,3,618,1.3862943611198906,0.5781296526357756,0.7142658895364974,0.3,0.23493975903614459,0,0,0,1,0.17155756207674944,0.17155756207674944,0.17155756207674944,0.17155756207674944,17.533117932148627,325.59,117787609,medium,1854,9.29228895462335,0,1,0
46109,credit,7339,1,10328,2001-09-24,2003-08-31,1,706,0.6931471805599453,0.2890648263178878,0.4704412989175687,0.1,0.41164658634538154,0,1,0,0,0.21670428893905191,0.21670428893905191,0.21670428893905191,0.21670428893905191,10.38048090523338,73.39,53860921,low,706,8.901094121608562,1,0,0
46109,credit,11953,1,11307,2013-05-15,2015-03-15,3,669,1.3862943611198906,0.5781296526357756,0.7905911740216486,0.3,0.3373493975903614,0,1,0,0,0.17155756207674944,0.17155756207674944,0.17155756207674944,0.17155756207674944,17.840298507462688,358.59,142874209,medium,2007,9.388821229384199,0,1,0
46109,other,10067,1,10422,2004-04-05,2006-10-13,3,921,1.3862943611198906,0.5781296526357756,0.6597280044407439,0.3,0.8433734939759037,0,0,0,1,0.17155756207674944,0.17155756207674944,0.17155756207674944,0.17155756207674944,10.918655097613883,302.01,101344489,medium,2763,9.217117356255207,0,1,0
46109,credit,12009,0,11424,2001-03-25,2003-10-04,1,923,0.6931471805599453,0.2890648263178878,0.7944768248681654,0.1,0.8473895582329317,0,1,0,0,0.21670428893905191,0.21670428893905191,0.21670428893905191,0.21670428893905191,12.996753246753247,120.09,144216081,low,923,9.39349491507403,1,0,0
46109,credit,559,1,10599,2008-02-15,2009-11-25,4,649,1.6094379124341003,0.6711877414712396,0.0,0.4,0.2971887550200803,0,1,0,0,0.11512415349887133,0.11512415349887133,0.11512415349887133,0.11512415349887133,0.86,22.36,312481,medium,2596,6.327936783729195,0,1,0
49545,other,13010,1,11345,2009-12-13,2011-08-30,2,625,1.0986122886681098,0.45815690999132624,0.863932833749653,0.2,0.24899598393574296,0,0,0,1,0.13544018058690746,0.13544018058690746,0.13544018058690746,0.13544018058690746,20.782747603833865,260.2,169260100,low,1250,9.473550432503476,1,0,0
49545,cash,3851,1,11033,2011-04-27,2014-01-07,1,986,0.6931471805599453,0.2890648263178878,0.22842076047737997,0.1,0.9738955823293173,1,0,0,0,0.21670428893905191,0.21670428893905191,0.21670428893905191,0.21670428893905191,3.901722391084093,38.51,14830201,low,986,8.256347772918016,1,0,0
49545,other,8419,1,11054,2006-10-24,2009-07-05,1,985,0.6931471805599453,0.2890648263178878,0.5453788509575354,0.1,0.9718875502008032,0,0,0,1,0.21670428893905191,0.21670428893905191,0.21670428893905191,0.21670428893905191,8.538539553752535,84.19,70879561,low,985,9.038365107236372,1,0,0
